survey_name,librarian_comments,region,locality,elementary_school,middle_school,high_school
Weighing Subject Matter,Negative influence it might have on students who might already be on the brink of harmful or destructive behavior.,N/A,Urban,0,1,0
Weighing Subject Matter,New administration.,Northeast,Urban,0,1,1
Weighing Subject Matter,"Nothing is taboo these days and most students have been exposed to too much inappropriate subject matter. However, we as teachers must address material that students may read independently and have no way of putting it in proper context.",Northeast,Suburban,0,0,1
Weighing Subject Matter,"One of our GA Peach selections last year had the word ""ass"" in the title. Having this word in the title did not please our principal and we did not include it in our Peach selections display that year.",South Atlantic,Rural,0,0,1
Weighing Subject Matter,Only because I moved from grades 6-8 down to 4-5.,Northeast,Suburban,1,0,0
Weighing Subject Matter,"Our legislature has taken away protections for educators in regards to ""harmful materials"" to students. Also we have no due process rights now.",Midwest,Small Town,1,0,0
Weighing Subject Matter,Our society is so much more polarized when it comes to social issues.,Midwest,Urban,1,1,0
Weighing Subject Matter,Our young people are being exposed to more mature situations at a younger and younger age. They are no longer shocked by the same content they once were.,South Central,Suburban,0,1,0
Weighing Subject Matter,Parent concerns.,N/A,Suburban,1,1,0
Weighing Subject Matter,parent questioned a title.,Northeast,Small Town,1,1,0
Weighing Subject Matter,"Parents and community members are more outspoken about controversial materials. Also, it seems that publishers are publishing more young adult material with adult content.",Midwest,Rural,0,1,1
Weighing Subject Matter,Parents are more critical of public schools and are looking for reasons to find fault.,Midwest,Small Town,0,0,1
Weighing Subject Matter,Parents are more vocal and have more influence with policy makers.,Midwest,Suburban,1,0,0
Weighing Subject Matter,"Parents are taking a bigger interest in what their kids are reading in a book. Not online, just in books.",South Central,Small Town,1,1,1
Weighing Subject Matter,Parents in our school have been more conservative.,Midwest,Suburban,0,1,0
Weighing Subject Matter,Parent's reactions seem to be more extreme.,Northeast,Suburban,0,1,0
Weighing Subject Matter,People seem to be more sensitive and reactive to subjects.,Mountain,Small Town,1,0,0
Weighing Subject Matter,People seem to love making mountains out of molehills these days.,Midwest,Suburban,1,0,0
Weighing Subject Matter,"People today seem to want to create a disturbance over every small thing, even a book.",South Central,Rural,1,0,0
Weighing Subject Matter,Public school climate.,South Atlantic,Suburban,1,0,0
Weighing Subject Matter,Publishers are more apt to publish these topics now and reviewers are more hesitant to make note of these topics.,Midwest,Suburban,1,0,0
Weighing Subject Matter,Purchasing for middle school is difficult because of the maturity levels of our students ranging from 10 years old to teenage. Books for YA have become more explicit in language and content over the past couple of years and some may be more appropriate for high school readers when considering life experience and maturity level.,Pacific,Suburban,0,1,0
Weighing Subject Matter,Recently my school district has moved 9th grade back to the high school and brought in 6th grade. This has resulted in adjusting the collection to reflect the needs/interests of younger students.,Mountain,Small Town,0,1,0
Weighing Subject Matter,"Representation of issues at an adult level seem to have trickled down into literature for younger readers. Without necessarily having the benefit of a source for a mature discussion, this may leave a younger reader viewing questionable behavior as acceptable.",South Atlantic,N/A,0,0,0
Weighing Subject Matter,Resurgence of book challenges.,South Atlantic,Suburban,0,0,1
Weighing Subject Matter,School system requirements.,South Atlantic,Small Town,1,0,0
Weighing Subject Matter,Seems like all young adult books have so much more controversial subject matter I have to look at them much more carefully now than 2 years before. I have middle school students using this library and I have to be very careful what books they check out.,Midwest,N/A,0,0,0
Weighing Subject Matter,Seems like the culture of fear is growing....,Northeast,Small Town,0,1,1
Weighing Subject Matter,"Sexual situations, big increase in profane language...I have so little $...it is disappointing to purchase a book that I find out is controversial for middle schoolers and I have to provide a warning it may be mature...which is a euphemism for what very well is inappropriate for a 12 year old . I used to think I was so open to controversial text but I see our youth so sexualized at young ages and where once it was important to explore the gray areas as they matured...now they bring the books back because they are feeling a bit dirty as if the language or situation is too much..I try to be comforting and accepting ....honestly one last summer is one of those books...some love it ...some cringe.",South Central,Small Town,0,1,0
Weighing Subject Matter,Stakes are higher if there is a complaint about the content.,South Atlantic,N/A,0,0,0
Weighing Subject Matter,"Students can read whatever their parents purchase for them, etc., but our library is responsible for providing age appropriate materials for them.",South Central,Urban,0,1,0
Weighing Subject Matter,Students have been exposed to too much violence and language in the media. They seem to have become desensitized to it.,Pacific,Small Town,0,0,1
Weighing Subject Matter,"The LBGTQ issue has been forced upon us, including in your material. It is not the norm and should not be presented as such. Why can't it be called for what it is - sinful. There never seems to be a problem calling material racially biased. Our students have plenty of problems without the LBGTQ being forced at them. Isn't it time to assist them in becoming normal, well-adjusted individuals? What we need are good clean books that portray values we need again in this country.",South Central,Small Town,0,0,1
Weighing Subject Matter,"The LGBT books in particular...In the last couple of years I have become even more committed to purchasing and making available books with an LGBT theme that are still appropriate for middle school (in particular I try to avoid too much of the F-word, and any sexual content that is too mature in a middle school context; i.e. ""going all the way""). I am committed to putting as many of these books in my library as possible because there are students who need them badly, and they're an under-represented group. I would also like for my non-LGBT students to read them in order to promote more acceptance of their peers who struggle with these issues, and to learn to treat everybody kindly.",Midwest,N/A,0,0,0
Weighing Subject Matter,The nature and acceptance of certain things is changing.,Pacific,Suburban,1,0,0
Weighing Subject Matter,"The only reason I consider this is because we are a K-12 school and I put effort into challenging my older readers while still making sure that my younger readers are reading age appropriate material (the middle years students like to consider themselves ready for high school novels when they're not emotionally mature enough for the content). I don't base my purchasing decisions on the controversial content, but I do consider location and availability within the library.",Canada,Rural,1,1,1
Weighing Subject Matter,"The pressure to be politically correct, for one thing, but also the recent events of sex assault and cyber bullying have increased.",Canada,Suburban,1,1,1
Weighing Subject Matter,The subject matter is more controversial and I would like to avoid censorship issues if possible.,Pacific,Rural,1,0,1
Weighing Subject Matter,There are more books out there now with inapporpriate material in it.,Midwest,Small Town,0,1,0
Weighing Subject Matter,There are more controversial books available for Middle School students. Our library is being scrutinized by local groups that are trying to find fault with public schools and are interested in starting charter schools that are ultra conservative.,South Atlantic,Urban,0,1,0
Weighing Subject Matter,"There are more LGBTQ books coming out and my students mostly come from very conservative families. I would like to put them in my library, but I know my students would be worried about checking them out.",Northeast,Suburban,0,0,1
Weighing Subject Matter,"There have been two books in recent years that I have chosen not to buy, despite student requests (and remember, these are 11 to 14-year-olds): ""I hope they serve beer in Hell"" and ""Fifty Shades of Grey"". I am not afraid of cutting-edge content and I absolutely showcase controversial subjects, but I am finally realizing that, as a school librarian, I do need at least a small amount of literary merit or curricular relevance to justify purchasing a book with state funds. Now, donated books is a different story. I do donate more controversial books than I would purchase. You name it, we probably have it.",Pacific,Rural,0,1,0
Weighing Subject Matter,There is more and more controversial material in YA and children's lit than any time I can remember.,South Central,Suburban,0,1,1
Weighing Subject Matter,There is more information everywhere.,Pacific,Small Town,1,1,0
Weighing Subject Matter,There is more.,Northeast,N/A,0,0,0
Weighing Subject Matter,"There is much more controversial subject matter in YA books now. Heck, there is much more in Presidential debates now. Who would have believed it two years ago?",South Atlantic,Suburban,0,0,1
Weighing Subject Matter,"There seems to be more controversial subject matter in some of the newer books than just a passing mention as in the past and many of the parents in my district have concerns about their child being exposed to certain behaviors such as drug use, sex and profanity. They worry that the addition of books with risky behaviors in them at the middle school level will cause students to become desensitized to them especially if the book doesn't have consequences for the behaviors.",South Central,Suburban,0,1,0
Weighing Subject Matter,"There seems to be so much more sex, violence, etc., in YA books than before and I work in a middle school.",Northeast,Suburban,0,1,0
Weighing Subject Matter,"These are pricklier times than even 2 years ago. If you go left, you're wrong. If you go right, you're wrong. If you go straight ahead, you go wrong.",Midwest,Rural,0,1,0
Weighing Subject Matter,These controversial subjects are an everyday part of my High School students lives. They need relevant and current resources to become informed and make good decisions.,Midwest,Small Town,0,0,1
Weighing Subject Matter,This library now serves only K-5. It previously served students through 6th grade.,Pacific,Rural,1,0,0
Weighing Subject Matter,"Too much information and freedom given to express oneself, social media, more acceptable behavior.",South Central,Urban,1,1,0
Weighing Subject Matter,Vocal parents who would go to the media before discussing concerns with the school.,Mountain,Urban,1,1,0
Weighing Subject Matter,We had a challenge 2 years ago which put a magnifying glass on my Media Center and collection. The board became involved.,Midwest,Suburban,0,1,0
Weighing Subject Matter,We used to only have 7th and 8th grade students but now have 6th grade as well.,Northeast,Suburban,0,1,0
Weighing Subject Matter,"While I feel like the students want to read up, the politically correct atmosphere pervasive in our culture can spell trouble for librarians who don't have support of admin or board should a parent object.",Pacific,Small Town,0,1,0
Weighing Subject Matter,Will it become an issue for parents or staff?,Midwest,Suburban,1,1,1
Weighing Subject Matter,"With little funds to purchase books, I need to select books that will appeal to all patrons.",Mountain,Urban,1,1,0
Weighing Subject Matter,Working for a Catholic school I have to be very careful. Books seem to have more controversial conflict.,South Atlantic,Suburban,1,1,0
Weighing Subject Matter,"Yes, because so many books today try to ""sneak"" controversial content into the books. I am careful not to ""promote"" content that I feel is controversial and conflicting towards the values of our community. They are exposed to plenty of controversial subject matter on television. I feel responsible for supplying books and materials that are appropriate for middle school students and not subjecting them to content that they're not ready for at their age.",South Atlantic,Rural,0,1,0
Weighing Subject Matter,"Yes, because there seem to be many more controversial stories out there.",Pacific,Rural,0,1,1
Weighing Subject Matter,Younger children hear about edgy content and want to check out the books if we have them. This library serves students in grades 5 -12,South Central,Suburban,1,1,1
Comments About Age-Appropriateness,"""Adult relationships"" that are not ""age appropriate"" in American culture for children. For instance, I would not purchase or even accept a donated copy of ""Waiting to Exhale"" by Terry McMillan for my middle school collection. However, I believe that Angela Johnson's First Part Last is appropriate for some middle school students.",Northeast,Suburban,0,1,0
Comments About Age-Appropriateness,1. Check www.commonsensemedia.com to see if there are reviews 2. Read reviews on Amazon and other sites 3. Read reviews from professional sources when I look on Follett's site for the book 4. Check out the book from the public library and read it myself.,Midwest,Small Town,1,1,0
Comments About Age-Appropriateness,1. I read reviews for information on content 2. I look at age recommendations from publisher and reviewers 3. I read the book myself if I'm in doubt or I will talk with a colleague who had read the book.,South Central,Suburban,1,1,0
Comments About Age-Appropriateness,Age and maturity of middle school students.,Midwest,Suburban,0,1,0
Comments About Age-Appropriateness,"Age of characters, themes of book, reading level, vocabulary.",Midwest,Suburban,1,0,0
Comments About Age-Appropriateness,"Age of characters, writing complexity, and reviewed age groups.",Northeast,Urban,1,1,0
Comments About Age-Appropriateness,"Age of main character, cover appeal, ""adult"" themes.",Pacific,Small Town,0,0,1
Comments About Age-Appropriateness,Age of main characters and situation characters are in.,Midwest,Suburban,0,0,1
Comments About Age-Appropriateness,Age of protagonist.,South Atlantic,Urban,0,0,1
Comments About Age-Appropriateness,"Age of protagonist, situations in the book, high school focus.",Pacific,Small Town,0,0,1
Comments About Age-Appropriateness,"Age of the main character, age of students potentially reading it.",Midwest,Suburban,1,1,1
Comments About Age-Appropriateness,Age recommendations from review sources such as SLJ.,South Central,Urban,0,1,0
Comments About Age-Appropriateness,"Age recommendations from SLJ and Booklist primarily, but I also consider Kirkus. Middle school is a tricky age group to serve, so I try to make sure that the books will speak to my students' concerns in a way they can comprehend. My worry is that books with content that is too mature won't help them make sense of complex issues but instead feed negative social or other dynamics.",Pacific,Suburban,1,1,0
Comments About Age-Appropriateness,"Amazon suggested age, professional reviews (SLJ, etc.), read personally",Northeast,Small Town,1,0,0
Comments About Age-Appropriateness,"AR levels, book reviews, personal review.",Mountain,Small Town,1,0,0
Comments About Age-Appropriateness,"At an elementary school, I choose books with characters and/or topics relevant to kids at elementary school ages.",Midwest,Urban,1,1,0
Comments About Age-Appropriateness,"As I teach at a secondary school, grades 10-12, most books are age appropriate. Having said that, sometimes I will not choose a book because it's not 'school' appropriate.",Canada,Urban,0,0,1
Comments About Age-Appropriateness,As much as possible I try to depend on reviews.,South Atlantic,Suburban,1,1,1
Comments About Age-Appropriateness,"At the 6-8 level, it can be difficult, because 6th graders in the fall are light years away from 8th graders in the spring headed into high school. Violence does not seem to be an issue that causes upset in our community, but sexual content on page is where we typically draw the line. I try to keep language minimal, but that usually isn't the deciding factor, since other factors typically come up first. I look at SLJ reviews and Booklist reviews (compare on Titlewave), and sometimes read Common Sense Media reviews if I am on the fence. Other times I will read the book, or ask for student input on whether there is any content that a younger reader might not be able to handle.",Mountain,Suburban,0,1,0
Comments About Age-Appropriateness,"Based on experience with the age group I serve, comparable content in other materials, interest shown by age group I serve.",Northeast,Urban,0,0,1
Comments About Age-Appropriateness,Based on my personal experience as a parent and teacher- knowing developmental levels of children and what I feel most people would be comfortable exposing their children to.,Midwest,Suburban,1,1,0
Comments About Age-Appropriateness,Based on reviews.,Pacific,Small Town,1,0,0
Comments About Age-Appropriateness,"Based on reviews from trusted source, previewing materials myself, and reading book reviews in public forums such as Goodreads and Amazon. When I have questions about content, I read the book myself and compare it to others in our existing collection.",South Atlantic,Suburban,0,1,0
Comments About Age-Appropriateness,"Based on reviews. If I have read a book and find it appropriate regardless of the suggested age, I will consider adding it to the collection.",Northeast,Suburban,1,0,0
Comments About Age-Appropriateness,Based on the reviews. Even though students request Fifty Shades of Grey we will not be purchasing for the high school library. I tell students if they are interested they can check it out at the public library.,Pacific,Suburban,0,0,1
Comments About Age-Appropriateness,Book reviews.,South Central,Small Town,1,0,0
Comments About Age-Appropriateness,Book reviews.,Mountain,Urban,1,1,0
Comments About Age-Appropriateness,Book reviews.,South Atlantic,Suburban,1,1,1
Comments About Age-Appropriateness,Book reviews are a factor to determine what's age appropriate.,Northeast,Suburban,0,1,0
Comments About Age-Appropriateness,"Book reviews, like from SLJ.",Midwest,Suburban,1,0,0
Comments About Age-Appropriateness,"Book reviews, book looks.",Midwest,Suburban,1,0,0
Comments About Age-Appropriateness,"Book reviews, colleague input.",South Central,Suburban,1,0,0
Comments About Age-Appropriateness,"book reviews, pre-read, peer input.",Mountain,Small Town,1,0,0
Comments About Age-Appropriateness,"Book reviews, ratings of manga books, etc.",South Central,Suburban,0,0,1
Comments About Age-Appropriateness,Book reviews.,South Atlantic,Suburban,1,0,0
Comments About Age-Appropriateness,"By considering the whole book. In my professional judgement--and considering our selection policies. Explicit sex, violence, or drug use are not appropriate topics for a middle school audience.",Midwest,Suburban,0,1,0
Comments About Age-Appropriateness,"By content, issues discussed, language used",South Atlantic,Suburban,0,0,1
Comments About Age-Appropriateness,By looking at the age level on the book info or by info from other media specialists.,South Atlantic,Small Town,1,0,0
Comments About Age-Appropriateness,By looking at the suggested grade levels in the reviews and by the general summary.,Mountain,Suburban,0,1,1
Comments About Age-Appropriateness,By reading multiple reviews from professional journals.,Midwest,Small Town,0,0,1
Comments About Age-Appropriateness,By reading multiple reviews or reading an advanced copy if possible.,Midwest,Urban,0,0,1
Comments About Age-Appropriateness,By reading professional reviews.,Midwest,Suburban,1,1,0
Comments About Age-Appropriateness,by reading reviews and knowing what else the author has written.,Midwest,Urban,0,0,1
Comments About Age-Appropriateness,"By reading the book myself, when possible. But mostly from published reviews from trusted sources. It is frustrating when several reviewers say ages 12 and up or grade 7 and up, and another source says grade 10 and up!",Mountain,Urban,0,1,1
Comments About Age-Appropriateness,"By reading the reviews and using the ""recommended grades"" listed by School Library Journal and Booklist.",Northeast,Small Town,0,1,0
Comments About Age-Appropriateness,By researching and information given by author/publisher. By content of the book. Some books already have or grouped by age and grade level.,Pacific,Urban,0,1,0
Comments About Age-Appropriateness,By reviews from such publications as School Library Journal.,Midwest,Suburban,0,1,0
Comments About Age-Appropriateness,"By the situations in books, reading level, subject matter.",South Atlantic,Rural,1,1,0
Comments About Age-Appropriateness,By using age recommendations from SLJ.,Midwest,Suburban,1,1,0
