librarian_comments,region,locality,elementary_school,middle_school,high_school
Book reviews.,South Atlantic,Suburban,1,1,1
Book reviews are a factor to determine what's age appropriate.,Northeast,Suburban,0,1,0
"Book reviews, like from SLJ.",Midwest,Suburban,1,0,0
"Book reviews, book looks.",Midwest,Suburban,1,0,0
"Book reviews, colleague input.",South Central,Suburban,1,0,0
"book reviews, pre-read, peer input.",Mountain,Small Town,1,0,0
"Book reviews, ratings of manga books, etc.",South Central,Suburban,0,0,1
Book reviews.,South Atlantic,Suburban,1,0,0
"By considering the whole book. In my professional judgement--and considering our selection policies. Explicit sex, violence, or drug use are not appropriate topics for a middle school audience.",Midwest,Suburban,0,1,0
"By content, issues discussed, language used",South Atlantic,Suburban,0,0,1
By looking at the age level on the book info or by info from other media specialists.,South Atlantic,Small Town,1,0,0
By looking at the suggested grade levels in the reviews and by the general summary.,Mountain,Suburban,0,1,1
By reading multiple reviews from professional journals.,Midwest,Small Town,0,0,1
By reading multiple reviews or reading an advanced copy if possible.,Midwest,Urban,0,0,1
By reading professional reviews.,Midwest,Suburban,1,1,0
by reading reviews and knowing what else the author has written.,Midwest,Urban,0,0,1
"By reading the book myself, when possible. But mostly from published reviews from trusted sources. It is frustrating when several reviewers say ages 12 and up or grade 7 and up, and another source says grade 10 and up!",Mountain,Urban,0,1,1
"By reading the reviews and using the ""recommended grades"" listed by School Library Journal and Booklist.",Northeast,Small Town,0,1,0
By researching and information given by author/publisher. By content of the book. Some books already have or grouped by age and grade level.,Pacific,Urban,0,1,0
By reviews from such publications as School Library Journal.,Midwest,Suburban,0,1,0
"By the situations in books, reading level, subject matter.",South Atlantic,Rural,1,1,0
By using age recommendations from SLJ.,Midwest,Suburban,1,1,0
Character's age is in the same age range..,Midwest,Suburban,1,1,0
Characters are around the ages of my students and plots are situations that my age student would have encountered or others their age in a different setting would have encountered.,South Central,Suburban,0,1,1
"Check Commonsense Media (love this resource!), read reviews, check with other libraries and librarians.",Pacific,Suburban,1,1,0
Check main character age; check SLJ reviews and recommendations; check other reviews; see who else in my district has it at what level; read some of the content if available.,Pacific,Suburban,0,1,0
Check recommended interest level. Read multiple reviews for each book being considered. Speak to faculty/staff/students who have read the book.,South Central,Rural,0,1,0
Check reputable sites on internet and make a judgement call.,Pacific,Small Town,0,1,0
Check reviews in several places.,Midwest,Small Town,0,0,1
Check the publisher.,Pacific,Urban,1,0,0
"Checking publisher age guidelines, the holdings of other elementary school libraries in our district, reviews, current holdings (series).",South Atlantic,Suburban,1,0,0
"Children begin to want to understand the world and what has gone wrong at around 14, which is 8th grade in our school. That is when they study revolutions and they are ready to deal with more graphic representations of those controversial subjects. Prior to that it completely depends on how a subject is handled.",South Central,Suburban,1,1,1
"Combination of a few things like age of characters, situational content, etc. Usually just a gut feeling about the title.",Northeast,Small Town,0,0,1
"Community standards, student feedback.",Mountain,Rural,0,1,1
Consult reviews.,South Atlantic,Small Town,0,0,1
"Consulting numerous reviews, reading the material myself and knowing my audience here at my school.",Northeast,Small Town,1,1,0
content,South Atlantic,N/A,1,1,1
"Content and illustrations, also language and subject matter",South Atlantic,Suburban,1,1,1
Content and reviews,South Central,Small Town,1,0,0
Content that a child at that age would understand - age appropriate words/actions.,Midwest,Suburban,1,0,0
"Content, language.",Pacific,Urban,0,1,1
"content, language, readability",Midwest,N/A,1,1,1
"content, reading level, interest level",South Central,Suburban,0,1,0
Content: if main character is within 3-5 years the age of our oldest students (10/11 years old),South Central,Urban,1,0,0
Curriculum and knowledge of the students who use library,Pacific,Urban,1,1,0
Depends on the cover. Will my high school students pick it up? I purchase books for my low readers and almost adult books for the AP classes.,Midwest,Suburban,0,0,1
Discussions about sex and characters having sex is fine. Explicit scenes are not okay.,Northeast,Suburban,0,0,1
Elementary - 6th grade is my target range. Read reviews and comments on the book.,Pacific,Small Town,1,1,0
Elementary level-Lexile,South Atlantic,Suburban,1,0,0
"Experience, reviews in trade pubs or through our book vendors, discussion with other librarians in my district.",Pacific,Suburban,0,1,0
"First I look for Young Adult references in catalog listings, then I look through the books myself. The two factors that sway me are humor and positive outcome. I won't buy a YA book for my middle school if the content is too heavy or dark.",Pacific,Suburban,0,1,0
First: Age listed by publisher Second: Age listed on Follett's Titlewave Third: Kirkus Reviews Last: personal observation (if I have read the book and disagree with the above),Northeast,Suburban,0,0,1
"For books that are considered ""adult,"" I determine if it is age appropriate based on the complexity of the material and whether I think it would appeal to my students.",Northeast,Rural,0,0,1
For books that I haven't read I rely on the age recommendation of multiple book reviewers.,South Atlantic,Rural,0,0,1
"For middle school, the main thing is that the language not be too inappropriate and that the sexual content not be too explicit.",Pacific,Suburban,0,1,0
"For my elementary students, I do not choose books with vulgarity, especially sexual words, sexuality, violence, and other mature topics.",South Central,Suburban,1,1,1
"For my middle school students, grades 6 to 8, I think of books having a PG rating. Mild language, mild romance, etc. Books need to contain situations middle schoolers would find themselves in.",Pacific,Small Town,0,1,0
From reviews,Midwest,Urban,0,0,1
"From the reviews, and I also sometimes use CommonSense Media.",South Atlantic,Rural,1,0,0
"Generally reading reviews (professional and reader reviews, including children), reading summaries of the books. If I have the opportunity, reading the material itself.",Midwest,Small Town,1,0,0
"Generally, I look at reviews (SLJ, NoveList, etc.) to help me decide if a book would be appropriate for my students.",Northeast,Suburban,0,1,0
"Generally, use reviews from School Library Journal and/or Booklist",Northeast,Small Town,0,1,0
Grade levels in SLJ and Booklist,Pacific,Suburban,0,0,1
Guidelines on title wave and review journals,South Atlantic,Suburban,1,0,0
"I typically start with reviews from Horn Book, SLJ and see what reviews say. I will often buy the controversial book to ready myself.",Pacific,Suburban,1,1,0
"I always read reviews. If there is ever a question after we have ordered a book, we look at overall, complete book and not specific parts. If we feel book is not appropriate to the high school students we serve, we do not put it on the shelf. We have many books with issues, but our students live many of these issues. If a concerned parent or teacher questions a selection, we point to reviews and offer students other choices of books from our collection or even invite them to visit the local public library.",Midwest,Urban,0,0,1
I always read the reviews from SLJ and other reviewing journals.,South Central,Small Town,1,1,0
"I am elementary so it is pretty easy. I don't put books on the shelves with sexual content, violence, bad language etc. I try to keep books that would encourage, provoke thought, have historical value and initiate conversation.",South Atlantic,Rural,1,0,0
"I am in a high school library and sometimes purchase adult books with young adult appeal. If the book isn't reviewed as such through credible sources, I may not purchase it because it is an adult book. If I have read the book and think that my students would like the book, I might purchase it. An example of this is the book ""The Martian"" by Andy Weir. I purchased this book for the HS library after I read it, without reading a review.",Midwest,Urban,0,0,1
"I am in a high school, so I have a bit more leeway. I choose books for middle school up to adult, but I look at content and language mostly to determine if books are appropriate for my library. I tend to be very liberal with my choices, selecting titles that are a little edgy.",Mountain,Urban,0,0,1
"I am in a middle school 6-8 grade. Sometimes if the main characters are high school students doing more provocatively sexual things or using drugs, I might not buy the book. I look at the age range many reviews include. With Fault in Our Stars I broke that rule. The movie made it too much in demand and I thought the sexual piece was well done and minimal. I try to push the envelope with LGBT topics and foul language if it is well done.",South Atlantic,Suburban,0,1,0
"I base age level on reading level, accelerated reading classification, content - try to pre-read all books or get recommendations from other teachers who have read the book.",South Central,Suburban,1,1,0
I base my decision upon what I feel is the standard opinion of appropriateness for our school community.,South Central,Small Town,1,1,0
"I begin by searching for books that are about characters who are the age of the students I teach. If the book is about a character who is years older facing challenges and issues that are not realistic or relevant to a middle school student, I need to look carefully to see that the content is not too advanced.",Midwest,Suburban,0,1,0
"I check a minimum of 3 review sources, such as SLJ and BookList. If I am not certain that a book will be appropriate, I read the book prior to making it available to students. If I decide that it isn't age-appropriate, I give it to the high school library.",Northeast,Suburban,0,1,0
I check multiple websites to make sure that it is for elementary aged kids,Pacific,Suburban,1,1,0
I check out professional reviews.,South Central,Small Town,0,0,1
"I check several book sites for recommended ages, grade levels.",N/A,Urban,0,1,0
I check the Goodreads site or other libraries to see if they have it or not.,Canada,Small Town,1,1,0
"I check with the school counselor, I test it out on peer reviewers and I know the interests of my readers.",South Atlantic,Suburban,0,0,1
"I compare book reviews and check for recommended age level. Also, if I have the opportunity to physically look at the book, I will browse the content.",South Central,Rural,0,1,0
I consider psychological and social development. Students need to read books that are developmentally appropriate. They need to be ready to grapple with and be introduced to the topics/language.,South Central,Rural,1,1,0
"I consider Publisher suggestions for age range and also look up reviews from SLJ, Horn Book, etc.",Pacific,Urban,1,0,0
"I consider the age of the protagonist, the themes.",Midwest,Suburban,0,0,1
"I currently work at a middle school so I generally don't buy books that are intended for adults. When I worked at an elementary school previously, I steered away from materials generally considered YA. I do have 5th graders on my middle school campus so they have access to books that they would not have access to at the elementary level.",Pacific,N/A,0,0,0
"I currently work at a middle school so I generally don't purchase books intended for adults, excepting the classics. I used to work at an elementary school so I would generally steer away from books considered YA. I do have 5th graders at my middle school so they have access to materials that they would not have access to at the elementary school.",Pacific,Urban,1,1,0
"I defer to guidelines on Follett, Permabound and School Library Journal",Mountain,Urban,1,0,0
I determine if it is age appropriate by reading all of the most conservative reviews that I can find. I also talk to colleagues to get their opinions on controversial books.,South Atlantic,Urban,0,1,0
"I do tend to look at what different journals recommend as age appropriate as my first guideline. If a book is outside our age range and is requested by a student or teacher, I will read it myself to see if I can see why it was recommended for a high school or adult audience. (We are middle school). Sometimes it's merely that the book itself is a little more sophisticated in its content, so it is intended for a more mature audience...I'd probably go ahead with that one. However, depending on how the sexual content/violence/drug use is presented (Is the book romanticizing suicide? Is the book glorifying drug culture, or is the sexual content graphic? Is this book promoting abuse or rape culture?) In other words, does a ""gritty"" book present societal problems with real-world consequences, do the benefits of the story outweigh the negatives?",Midwest,Small Town,0,1,0
"I either read it, depend on the endorsement of other professionals in similar school settings, or on reputable review sources such as SLJ, and children's literature databases.",South Atlantic,N/A,0,0,0
"I first read it myself. Then refer to professional journals such as yours, Hornbook, NY times and Chicago Tribune reviews.",Midwest,Urban,1,1,0
I follow the grade-level information in book reviews.,South Central,Suburban,0,1,1
I generally look at reviews and check recommendations for age/grade level appropriateness.,Midwest,Suburban,0,1,0
"I generally use the age guidelines that appear in the blurb about the book. Books with more mature content I make note to only check out to upper elementary grades (example: Shiloh, Because of Winn Dixie)",South Atlantic,Suburban,1,0,0
I go by a gut feeling and by how well I know my students. The grittier books I recommend to the students that I know have home lives that are reflected in the literature.,South Atlantic,Small Town,0,0,1
"I go with reviews--if the reviews have grade 8 and/or age 13/14 (as some 8th graders are 14), I trust the reviewer. Some students will say a book was inappropriate. I ask if they enjoyed it and would recommend it. If so, it stays.",South Central,Urban,0,1,0
"I have a difficult time deciding what to purchase due to the age range in our building. We are a 7-9 campus so some books I label for 9th grade only. I read reviews and check Amazon, Good Reads and other sites for help.",South Central,Small Town,0,1,1
I have a list of reviewing agencies (8 agencies) and 3 or more of them must include 8th grade age range as appropriate or I won't have it in my 6-8 library.,Midwest,Small Town,0,1,0
I have a Literature Committee of middle school parents who want to read for the library. I ask them to read and evaluate books that have a reviewer's recommendation of 8th grade and higher (we are a K-8 school). We look at a book for its message and whether the violence or language are authentic and necessary for the story. Gratuitous violence and graphic sex may be grounds for discarding a book. It doesn't really happen often.,South Central,Urban,1,1,0
I have taught all levels and I just use my best judgment. I often read the book first so I know what is in it. I also check with a website such as Commonsensemedia.com if I have questions about it. I have a few parents who know what our school/community guidelines are and they have helped me read and evaluate books.,Pacific,Small Town,1,1,0
I know it when I see it.,Northeast,Suburban,0,1,1
"I like to use a three step format: 1) student interest, 2) book content, 3) fluency. However, if a student insists on reading topics outside of his/her age, then I set limitations by saying ""I don't want you to read this book at your age."" Knowing the authors helps, too. Sometimes, they cross the line.",South Central,Rural,1,0,0
"I look at book recommendations in Follett Titlewave from SLJ, Booklist, etc. I also consider age level, reading level, audience level, etc. from MARC records. Finally, I use ALA website recommendations and OELMA Listserv.",Midwest,Small Town,1,1,0
"I look at book reviews from SLJ, Booklist and Kirkus reviews. If the book is close to being age-appropriate, I may read it myself before making a decision.",Pacific,Urban,1,1,0
I look at many different reviews.,Midwest,Small Town,0,1,0
"I look at multiple reviews of the item to see where the reviewers placed the interest level. I consider anything that falls anywhere within the grade levels we serve, even if it is at the top.",South Atlantic,Urban,0,1,0
"I look at my clientele and I have a knowledge of my students. I also take in the age, grade level, and interests of my students. By talking with them, conducting surveys, and gauging their interests, I can find out what they want to read or explore.",South Central,Small Town,0,1,1
I look at published reviews and also consult our district's book approval database.,South Atlantic,Suburban,1,0,0
"I look at reading levels, other school librarians choices, look at the graphics, sometimes I read parts of it and if not sure, avoid until I can look further into the book when I have time.",Pacific,Suburban,1,0,0
I look at reviews along with knowledge of community standards.,Midwest,Rural,1,1,1
I look at reviews and check to see where the reviewer believed the range to be. I depend heavily on SLJ for that sort of information!,Mountain,Small Town,0,1,0
I look at reviews and what age range is suggested for the book.,Midwest,Urban,1,0,0
I look at reviews from different sources.,Midwest,Rural,1,1,1
"I look at reviews from people I trust, like SLJ, Horn Books, Kirkus, etc.",South Central,Suburban,1,0,0
"I look at the age of the main characters, the subject matter of the book and the author's target group if that information is available.",Midwest,Suburban,1,0,0
I look at the age/grade rating given by book reviewer.,South Central,Urban,0,1,0
I look at the characters age and the grade/age limit dictated by the book.,Midwest,Suburban,0,1,0
I look at the content and consider the maturity and needs of my students.,Midwest,Urban,0,1,0
I look at the emotional content and AR level (if available),Midwest,Suburban,1,0,0
"I look at the interest level, pictures and reviews",Pacific,Suburban,1,1,0
"I look at the maturity level of the content and decide if it is appropriate for students, I read reviews, and I ask students questions about the topics. I do have books that I keep separate and will check out if a teacher recommends for a specific set of students.",N/A,N/A,0,0,0
I look at the reviews from reliable sources. I will also read the book if I am not sure and make a determination.,Midwest,Suburban,1,0,0
"I look at the reviews that indicate the grade level it is marketed towards, and whether that fits into our purchasing guidelines for our school's grade levels. Being only a K-8 school, that can be difficult with YA books.",Northeast,Rural,1,1,0
"I look at the reviews to determine if the book is on level and has appropriate content for my elementary students. I try to locate and read at least two reviews. If I am still puzzled, I borrow the book from the public library and read the fly information. If still not sure, I may read at least some of the book or all. In my twenty years as a LMS, I have only had two or three books that I have sent to the upper grades when the order came.",South Central,Suburban,1,0,0
"I look at the SLJ and Follett age guidelines. If I'm previewing the book, then I'll read and skim to determine guidelines.",South Atlantic,Rural,0,0,1
"I look at what Follett, BookList and SLJ recommend, and I also consider the interests of our students and my gut feelings.",Midwest,Rural,0,1,1
I look at what knowledge is needed to understand the content of the book. I then look at whether or not the students have the maturity to handle the content of the book.,Midwest,Urban,1,1,0
I look for at least 2 positive reviews from reliable review sources. If the characters are teenage to young adult it is more permissible for them to engage in risky behaviors. If the characters are adults engaging in adult activities I am more likely to pass.,South Atlantic,Suburban,0,0,1
"I look for reviews by trusted entities-- ALA, VOYA, SLJ. . .and others to see what the suggested ages are for a book.",Pacific,Small Town,1,1,1
"I look for subjects my students are interested, I look for current issue topics, I look for historical subject matter",South Central,Rural,0,0,1
"I look through School Library Journal, Titlewave - checking the reviews (Kirkus and others) and the BTOL site for their grading of where the book should be. And when really in doubt, I read the book first.",Northeast,Suburban,0,1,0
"I often look at book reviews like SLJ to see what age level they recommend. If all reviews list about the same age, which they often do, then I will use that to help me to determine whether or not it is appropriate for the age I am purchasing for.",Midwest,Rural,1,1,1
I read 3-4 reviews on the book. Most include an age range for the book. I service a Junior high school ages ranging from 11-14. I have pushed the limit if I have read the book and deem it appropriate for my students. I tend to buy books that are appropriate for grades 5-9.,Pacific,Suburban,0,1,0
"I read as many reviews as I can find and if I have questions after that, I use CommonSense Media to ferret out specifics. I also rely on my knowledge of the community in which I live, work, and parented. It's one and the same.",Northeast,Small Town,1,1,0
I read as many reviews as possible to determine the suggested audience.,Mountain,Suburban,0,0,1
I read at least three different book reviews.,Midwest,Small Town,1,1,1
"I read book reviews from School Library Journal, The Horn Book, etc.",Mountain,Urban,0,0,1
"I read book reviews from SLJ, Titlewave, Kirkus. If I am still not sure, I read the book.",Midwest,Small Town,1,1,0
"I read book reviews from various sources, or I read the book myself.",South Central,Small Town,1,1,0
I read it! Prior to purchasing I try to read several reviews.,South Central,Rural,0,1,1
"I read it, rely on recommendations of other professionals in similar school settings, and use review sources like SLJ or children's literature databases.",South Atlantic,Suburban,1,1,0
I read it. I check reviews from trusted sites. It is an elementary school so no sex allowed! I can have a little leeway on other issues depending on the level of the book.,Mountain,Suburban,1,0,0
I read it. :-) I know my patrons well enough to guide them too.,South Atlantic,Urban,0,0,1
"I read lots of reviews, ask for teacher and student input, AND READ, READ, READ.",Midwest,Suburban,0,1,0
I read multiple reviews. There are very few items I would not buy for my high school library. FIFTY SHADES OF GREY comes to mind as inappropriate.,Northeast,Urban,0,0,1
"I read professional reviews and compare their opinions to what the publisher lists as the age range. If there are discrepancies, or if I am undecided, then I try to read an advance copy from Net Galley, or I will buy an ebook copy for myself and read it before I buy it for the library.",Pacific,Suburban,0,1,0
"I read professional reviews that suggest the appropriate age/grade levels. If they suggest that the material is excessive/graphic in nature and/or for only very mature teens, I will tend to by-pass the book.",Northeast,Rural,0,1,1
"I read professional reviews to see the age-level; if available, I read an ARC.",Pacific,Suburban,0,0,1
"I read reviews (Booklist, SLJ, Kirkus, etc). If the reviews indicate it is age appropriate but I still have doubts, I take the issue to other teachers and our AP.",Northeast,Suburban,1,0,0
I read reviews and also review the book myself.,South Atlantic,Rural,1,0,0
"I read reviews and check vendors online, and chat with colleagues",South Atlantic,Suburban,0,1,0
"I read reviews and look for middle school ratings (5-8). I shy away from most YA books and anything meant for high school. Most of the students who use this school library are in grades 6 and 7, even though we are a 6-8 school.",Northeast,Suburban,0,1,0
"I read reviews and suggested grades/age levels. After reading reviews, I try to determine if the content is appropriate for our middle-school students.",South Atlantic,Rural,0,1,0
"I read reviews and try to look at new books,",Midwest,Suburban,1,0,0
I read reviews but that doesn't always disclose something that may be an issue.,Mountain,Small Town,0,1,0
"I read reviews from magazines and from other purchasers. I also try to preview when possible. I look at the reading and interest level. I also read the summaries on sales listings, watching for subjects that I might find inappropriate for my grade levels.",Northeast,Suburban,1,0,0
"I read reviews from multiple sources like School Library Journal and Hornbook and Publisher's Weekly as a starting point. Then if I am interested in a book but not sure about its appropriateness for middle school, I will read it myself. Since we have a range of readers, I rarely find a book truly inappropriate but go on a personal feeling of what 6th-8th graders are interested in. If a book has strong sexual content, I sometimes pass on it if it seems more like an upper-high school situation.",Pacific,Suburban,0,1,0
"I read reviews from other librarians to see what they think the age range is for the book. For books that I am not sure about, I read the book and decide if the objectionable material is age appropriate and how it fits in with the story. As a middle school librarian, I don't choose books that have gratuitous sex, language, or violence just for the sake of it. If these are used to make the story more realistic, then I take that into account.",Northeast,Urban,0,1,0
"I read reviews from SLJ, Booklist, and other review sources.",Mountain,Small Town,0,0,1
I read reviews in School Library Journal,Northeast,Suburban,0,0,1
"I read reviews of the book from School Library Journal actually. I always look for Booklist, Horn Book and SLJ, but SLJ is the one review that I ALWAYS heavily depend on to let me know if the book is age appropriate and if there is anything ""inappropriate"" or worriesome in the book. SLJ has never let me down in this regard and I very, very much appreciate the reviewers giving the honest reviews they do. I am in a public elementary school library and in spite of what ALA says about censorship, I do use my personal judgement when ordering books for my PreK through 5th grade students. Call it censorship, I choose to call it responsible and well thought out. Thank you, SLJ, I sincerely don't know what I'd do without your reviews when making my book orders.",South Central,Suburban,1,0,0
"I read reviews on different sites including School Library Journal, Library journal review, Publishers' weekly review, Booklist review, Common sense media, Amazon to name a few. I wish there was a more straightforward and faster way of doing it. It is a long process.",Pacific,Suburban,0,1,0
I read reviews on Follett before purchasing. I sometimes look to see if other high schools in my district have a book in their collection before purchasing.,Mountain,Suburban,0,0,1
"I read reviews on titlewave, common sense media, and use AR interest level guidelines.",Northeast,Rural,1,1,0
I read reviews on Titlewave.,Mountain,Urban,0,1,1
I read reviews which typically suggest an audience,Northeast,Small Town,0,1,0
"I read reviews, check AR, read it myself.",South Central,Rural,0,1,1
"I read reviews, check Common Sense Media and go with my gut.",South Atlantic,Suburban,0,0,1
"I read reviews, check various sources, and often look for someone who had read or read it myself.",Pacific,Urban,0,0,1
"I read reviews, if uncertain I read the book.",Pacific,Suburban,0,1,0
"I read reviews. SLJ is my gold standard because those books are reviewed by teen and school librarians rather than professional reviewers. If a book is marked grades 10-12 then I don't purchase it. If it's marked grades 9 and up, I may put it in my Young Adult, 8th Grade only for our 6-8th Middle School.",Midwest,Suburban,0,1,0
"I read School Library Journal, Booklist, etc to get a feel for the content of the book. I also base my decision on their recommendation of grade level.",Midwest,Small Town,0,0,1
"I read summaries on Amazon or other sites. Also, read reviews on sights such as Focus on the Family.",Pacific,Suburban,0,1,0
I read the book.,Midwest,Suburban,1,1,0
I read the reviews listed in Follett and look at the age recommendations and the description of the book.,Pacific,Urban,1,0,0
I read the summary and consider content. I also read reviews and select books with positive reviews. Reviews generally include an age recommendation.,Midwest,Suburban,0,0,1
"I read the summary, and use book reviews to find out the theme of the book. Sometimes I read the entire book before putting it in the elementary check out. Common sense media is helpful, but does not have every book. I wish I had a good resource to inform me of possible issues. I can't read every book.",South Atlantic,Suburban,1,0,0
"I rely heavily on reviewers determination, and their candid, honest assessment of the content, in particular the degree of profanity and sexual content.",Pacific,Small Town,0,1,0
"I rely heavily on School Library Journal's book reviews, but generally try to avoid books that are too young or too adult for high school students.",Midwest,Urban,0,0,1
I rely on 3 to 5 reviews or recommendations. I have been disappointed a couple times this last year in books recommended for my middle school students,South Central,Small Town,0,1,0
"I rely on information found from SLJ, Amazon, and other sites.",Northeast,Small Town,0,1,0
"I rely on recommended age or grade level from professional reviews such as School Library Journal, Kirkus Reviews, Library Media connection, Booklist to name a few.",Northeast,Suburban,1,0,0
"I rely on recommended ages from publishers and reviewers. If I can't find an age range in reviews of YA lit, I either borrow it and read it myself or I don't buy it.",Northeast,Small Town,0,1,0
I rely on reviews of the book to determine the type of content that is included. I also consider the quality of the book and whether the content is gratuitous or essential to the story.,South Central,Suburban,0,1,1
"I rely on SLJ book reviews, and read the books when they come in. I work in a K-8 library, and some books are 6-8 grades only.",Midwest,Suburban,1,1,0
"I rely primarily on the age/grade level recommendations of reviews in School Library Journal, Booklist, or Horn Book. I also use Publisher's Weekly, but to a lesser extent.",Northeast,Rural,1,1,0
"I start with the Reviews (see the previous ""Other"" answer). If I can show a parent, etc. that top reviewers in the field have overwhelmingly rated the book as ""appropriate for Grade 7+"" for example, then nobody can fault me for including it in the middle school collection! When reviews are inconclusive (age recommendations are all over the place) or they're mostly ""Grade 8+"" with a few ""Grade 9+""--right on the bubble-- then I personally get the book from the public library and preview it myself. At that point I'm a little conservative because I know I don't have firm expert opinion to back up my choices, so I look out for too much F-word (although I've allowed it once or twice if warranted) and too much sexual content for middle school (i.e. ""going all the way"")",Midwest,N/A,0,0,0
"I take into account student interest and that we have many different levels of maturity in a 9-12 school. I read reviews, peer recommendations, and award winners.",Pacific,Urban,0,0,1
"I take into consideration publisher's recommendation, reviewers' recommendation and sometimes the relationship of the content to curriculum/standards.",Midwest,Small Town,1,0,0
"I teach elementary school, so generally if there is any mention of physical/sexual contact between characters, I will not order it.",Northeast,Suburban,1,0,0
I think about my students and reflect upon what I learned in my child development classes about cognition and environments. I also talk to other librarians and look at the reviews/suggested age ranges on books.,South Atlantic,Small Town,1,0,0
"I think about the students in my school and their awareness of or exposure to certain issues. If I feel that a book's content deals with issues that my students aren't usually exposed to, I typically don't buy it.",South Atlantic,Rural,1,0,0
"I try to consider the developmental stage of our students. Kids are not adults and may not be ready for certain topics. However, since I am in a high school, most things are within bounds.",South Central,Suburban,0,0,1
I try to read as many of the books as I can especially if I am at all concerned about the appropriateness of the book.,South Central,Suburban,1,1,0
I try to read at least four different reviews and make my decision based on the collective content of those reviews.,Midwest,Small Town,0,1,0
I try to read reviews and if possible the book itself.,Pacific,Suburban,0,1,0
I try to think about what I would want my own children to read and then I act pretty conservatively. I might be more liberal if I was at middle school or high school though instead of elementary school.,Pacific,Suburban,1,1,0
I use age-guidelines from reviews.,Midwest,Rural,0,1,1
I use book review sources for content information as well as recommended reading levels.,South Central,Suburban,0,1,0
I use journals and review articles,Canada,Small Town,1,1,1
I use magazines with book reviews plus just look at book summaries from book companies.,Midwest,N/A,0,0,0
"I use more than one way to determine if it is age appropriate like using various reputable book reviewers, the company that I purchasing from and reading the book myself.",Midwest,Rural,1,1,0
I use my own judgment and also research book reviews,Midwest,Suburban,1,1,0
I use reputable review sources if I haven't read it. I also refer to Common Sense Media if reviewed there. I often read it first to determine appropriateness for my K-5 students.,South Central,Suburban,1,0,0
"I use resources such as the Junior Library Guild, Peer Reviews, and Follett Titlewave for age-appropriate suggestions and then make my determination from that.",South Atlantic,Rural,1,0,0
