librarian_comments,region,locality,elementary_school,middle_school,high_school
Parents are more critical of public schools and are looking for reasons to find fault.,Midwest,Small Town,0,0,1
Parents are more vocal and have more influence with policy makers.,Midwest,Suburban,1,0,0
"Parents are taking a bigger interest in what their kids are reading in a book. Not online, just in books.",South Central,Small Town,1,1,1
Parents in our school have been more conservative.,Midwest,Suburban,0,1,0
Parent's reactions seem to be more extreme.,Northeast,Suburban,0,1,0
People seem to be more sensitive and reactive to subjects.,Mountain,Small Town,1,0,0
People seem to love making mountains out of molehills these days.,Midwest,Suburban,1,0,0
"People today seem to want to create a disturbance over every small thing, even a book.",South Central,Rural,1,0,0
Public school climate.,South Atlantic,Suburban,1,0,0
Publishers are more apt to publish these topics now and reviewers are more hesitant to make note of these topics.,Midwest,Suburban,1,0,0
Purchasing for middle school is difficult because of the maturity levels of our students ranging from 10 years old to teenage. Books for YA have become more explicit in language and content over the past couple of years and some may be more appropriate for high school readers when considering life experience and maturity level.,Pacific,Suburban,0,1,0
Recently my school district has moved 9th grade back to the high school and brought in 6th grade. This has resulted in adjusting the collection to reflect the needs/interests of younger students.,Mountain,Small Town,0,1,0
"Representation of issues at an adult level seem to have trickled down into literature for younger readers. Without necessarily having the benefit of a source for a mature discussion, this may leave a younger reader viewing questionable behavior as acceptable.",South Atlantic,N/A,0,0,0
Resurgence of book challenges.,South Atlantic,Suburban,0,0,1
School system requirements.,South Atlantic,Small Town,1,0,0
Seems like all young adult books have so much more controversial subject matter I have to look at them much more carefully now than 2 years before. I have middle school students using this library and I have to be very careful what books they check out.,Midwest,N/A,0,0,0
Seems like the culture of fear is growing....,Northeast,Small Town,0,1,1
"Sexual situations, big increase in profane language...I have so little $...it is disappointing to purchase a book that I find out is controversial for middle schoolers and I have to provide a warning it may be mature...which is a euphemism for what very well is inappropriate for a 12 year old . I used to think I was so open to controversial text but I see our youth so sexualized at young ages and where once it was important to explore the gray areas as they matured...now they bring the books back because they are feeling a bit dirty as if the language or situation is too much..I try to be comforting and accepting ....honestly one last summer is one of those books...some love it ...some cringe.",South Central,Small Town,0,1,0
Stakes are higher if there is a complaint about the content.,South Atlantic,N/A,0,0,0
"Students can read whatever their parents purchase for them, etc., but our library is responsible for providing age appropriate materials for them.",South Central,Urban,0,1,0
Students have been exposed to too much violence and language in the media. They seem to have become desensitized to it.,Pacific,Small Town,0,0,1
"The LBGTQ issue has been forced upon us, including in your material. It is not the norm and should not be presented as such. Why can't it be called for what it is - sinful. There never seems to be a problem calling material racially biased. Our students have plenty of problems without the LBGTQ being forced at them. Isn't it time to assist them in becoming normal, well-adjusted individuals? What we need are good clean books that portray values we need again in this country.",South Central,Small Town,0,0,1
"The LGBT books in particular...In the last couple of years I have become even more committed to purchasing and making available books with an LGBT theme that are still appropriate for middle school (in particular I try to avoid too much of the F-word, and any sexual content that is too mature in a middle school context; i.e. ""going all the way""). I am committed to putting as many of these books in my library as possible because there are students who need them badly, and they're an under-represented group. I would also like for my non-LGBT students to read them in order to promote more acceptance of their peers who struggle with these issues, and to learn to treat everybody kindly.",Midwest,N/A,0,0,0
The nature and acceptance of certain things is changing.,Pacific,Suburban,1,0,0
"The only reason I consider this is because we are a K-12 school and I put effort into challenging my older readers while still making sure that my younger readers are reading age appropriate material (the middle years students like to consider themselves ready for high school novels when they're not emotionally mature enough for the content). I don't base my purchasing decisions on the controversial content, but I do consider location and availability within the library.",Canada,Rural,1,1,1
"The pressure to be politically correct, for one thing, but also the recent events of sex assault and cyber bullying have increased.",Canada,Suburban,1,1,1
The subject matter is more controversial and I would like to avoid censorship issues if possible.,Pacific,Rural,1,0,1
There are more books out there now with inapporpriate material in it.,Midwest,Small Town,0,1,0
There are more controversial books available for Middle School students. Our library is being scrutinized by local groups that are trying to find fault with public schools and are interested in starting charter schools that are ultra conservative.,South Atlantic,Urban,0,1,0
"There are more LGBTQ books coming out and my students mostly come from very conservative families. I would like to put them in my library, but I know my students would be worried about checking them out.",Northeast,Suburban,0,0,1
"There have been two books in recent years that I have chosen not to buy, despite student requests (and remember, these are 11 to 14-year-olds): ""I hope they serve beer in Hell"" and ""Fifty Shades of Grey"". I am not afraid of cutting-edge content and I absolutely showcase controversial subjects, but I am finally realizing that, as a school librarian, I do need at least a small amount of literary merit or curricular relevance to justify purchasing a book with state funds. Now, donated books is a different story. I do donate more controversial books than I would purchase. You name it, we probably have it.",Pacific,Rural,0,1,0
There is more and more controversial material in YA and children's lit than any time I can remember.,South Central,Suburban,0,1,1
There is more information everywhere.,Pacific,Small Town,1,1,0
There is more.,Northeast,N/A,0,0,0
"There is much more controversial subject matter in YA books now. Heck, there is much more in Presidential debates now. Who would have believed it two years ago?",South Atlantic,Suburban,0,0,1
"There seems to be more controversial subject matter in some of the newer books than just a passing mention as in the past and many of the parents in my district have concerns about their child being exposed to certain behaviors such as drug use, sex and profanity. They worry that the addition of books with risky behaviors in them at the middle school level will cause students to become desensitized to them especially if the book doesn't have consequences for the behaviors.",South Central,Suburban,0,1,0
"There seems to be so much more sex, violence, etc., in YA books than before and I work in a middle school.",Northeast,Suburban,0,1,0
"These are pricklier times than even 2 years ago. If you go left, you're wrong. If you go right, you're wrong. If you go straight ahead, you go wrong.",Midwest,Rural,0,1,0
These controversial subjects are an everyday part of my High School students lives. They need relevant and current resources to become informed and make good decisions.,Midwest,Small Town,0,0,1
This library now serves only K-5. It previously served students through 6th grade.,Pacific,Rural,1,0,0
"Too much information and freedom given to express oneself, social media, more acceptable behavior.",South Central,Urban,1,1,0
Vocal parents who would go to the media before discussing concerns with the school.,Mountain,Urban,1,1,0
We had a challenge 2 years ago which put a magnifying glass on my Media Center and collection. The board became involved.,Midwest,Suburban,0,1,0
We used to only have 7th and 8th grade students but now have 6th grade as well.,Northeast,Suburban,0,1,0
"While I feel like the students want to read up, the politically correct atmosphere pervasive in our culture can spell trouble for librarians who don't have support of admin or board should a parent object.",Pacific,Small Town,0,1,0
Will it become an issue for parents or staff?,Midwest,Suburban,1,1,1
"With little funds to purchase books, I need to select books that will appeal to all patrons.",Mountain,Urban,1,1,0
Working for a Catholic school I have to be very careful. Books seem to have more controversial conflict.,South Atlantic,Suburban,1,1,0
"Yes, because so many books today try to ""sneak"" controversial content into the books. I am careful not to ""promote"" content that I feel is controversial and conflicting towards the values of our community. They are exposed to plenty of controversial subject matter on television. I feel responsible for supplying books and materials that are appropriate for middle school students and not subjecting them to content that they're not ready for at their age.",South Atlantic,Rural,0,1,0
"Yes, because there seem to be many more controversial stories out there.",Pacific,Rural,0,1,1
Younger children hear about edgy content and want to check out the books if we have them. This library serves students in grades 5 -12,South Central,Suburban,1,1,1
