librarian_comments,region,locality,elementary_school,middle_school,high_school
"A teacher aid complained about the vampire books in the collection, 58 out of over 17,000. This number included vampire bats, the ""Twilight"" series, and ""Bunnicular"". There processes ended in the library's favor after a full title review by administration and teachers from a different school. After 8 years I have had 3 challenges, Two in favor of the library, and one I agreed with the parent, the book was written for a more mature age group than the middle school.",Midwest,Rural,0,1,0
"A teacher questioned the appropriateness of The Da Vinci Code in the collection, saying it countered her religious beliefs and was blasphemous. Asked if we had religiously controversial titles such as Satanic Verses (we do). Used the materials selection policy to validate selections. No formal challenge was made, though I offered the option of placing one.",Canada,Urban,0,0,1
"A teacher thought Shrek by William Steig was inappropriate because the ogres are described as ugly. I regretfully did not add a book about a transgender child because ""our community is not ready for that,"" and I serve at the whim of a board of trustees made up predominantly of parents.",South Atlantic,Suburban,1,1,0
"A volunteer did not notice the restricted label on a book and checked out a book to a 2nd grader that had mature content and language. The student's mother was very upset and asked for the book to be removed (""It has no place in a Catholic School!"") and wanted to know how books were selected. I explained that her daughter should never have had the book, and that it was marked for 6-8th grades. I also explained that books were chosen based on professional reviews, curriculum considerations.This mother has not pursued the issue, but has asked that her daughter's books be screened. I plan to present a Collection Development Policy along with a Materials Challenge form to my administrator soon.",Midwest,Suburban,1,1,0
"A wordless book by Mercer Mayer. ""Children showing disrespect to parents.""",Midwest,Suburban,1,0,0
"Again, I don't buy a book just because it contains something, nor do I exclude it just because it does. So yes, some books that others might take issue with - for whatever reason - sometimes don't get the nod. I have finite resources. I take reviews into account for most purchases, but certainly not all. I purchase all books on our HS state reading lists, regardless of content.",South Central,Urban,0,0,1
Age appropriateness is a tough thing in middle school where some students are more mature than others but yet might not be ready to read high school material. It's tough to balance appropriateness with not censoring.,Northeast,Suburban,0,1,0
"All too often lately I have shied away from purchasing a book because SLJ reviews it for grade 10 and up, while several other review sources say it's appropriate for younger ages -- sometimes much younger. Occasionally when I read the book for myself I agree, but usually I have a hard time seeing what makes something ""grade 10 and up"" as opposed to ""grade 9 and up.""",Mountain,Urban,0,1,1
"Almost Perfect by Brian Katcher A parent bypassed the in place reconsideration form and sent 20 annotated pages of the book ( with underlined offensive content AND the reasons she believed it was inappropriate) to every member of the school board and superintendent without discussing the matter with me first. The board immediately required a committee set up (the next day--without giving time for the committee to read the book). The committee, consisting of the principal, a teacher, two parents and myself, decided to keep the book. When the parent was unhappy with the outcome, a district committee was formed. They decided to move the book to the high school. As a result, my superintendent wanted a list of ""all of the books that could be considered controversial"". I told him that my list would include every book in the collection, because someone might find any book offensive. I also said the book at the top of the list would be the Bible. We compromised, he insisted on permission slips to check out ""mature content"" books.",Midwest,Suburban,0,1,0
"Although they're not required in our selection process, I do read and rely on professional review, particularly School Library Journal, Hornbook, and BookList, although I read others as well. I particularly pay attention to the grade level recommendations. I have the most trouble deciding on books recommended for grades 5-8, knowing that 2nd graders are going to pick them up to read too. I do wish that reviewers would warn about profanity, as that's something even my students come and tell me they're uncomfortable with. Often I haven't been aware of it until that happens.",South Atlantic,Suburban,1,0,0
"An upper school student didn't think a particular book was appropriate for middle school students. It wasn't a formal challenge, just a conversation that made the hair on the back of my neck stick up!",Pacific,Urban,0,1,1
And Tango Makes Three-- I Love My Anteater with an A by Dahlov Ipcar Junie B. Jones and a Little Monkey Business The Raven by Gerald McDermott,Northeast,Suburban,1,0,0
"At different school--parent had personally experienced sexual harassment and objected to inclusion of a book that included a suggestion of a rape in it (the text was not explicit, only a suggestion of the possible action in a tunnel.)",Pacific,Urban,1,1,0
"Because we are private religious school, I sometimes have to refrain from buying books that might be too controversial for the student and parent body. I often try to replace it with something less controversial but on the same topic.",Northeast,Suburban,0,0,1
"Believe it or not, the book that was challenged wasn't for content but rather for age. The back of the book stated for ages 10+ and a parent questioned why it was required reading for a tenth (ages 15-16) grade ELA class I was teaching. The book was Harris and Me by Gary Paulsen. The protagonists remind me of Tom Sawyer and Huckleberry Finn, and the novel is simply a lot of fun and drama in a coming of age story. There's a bit of language and semi-adult situations, but totally innocuous considering today's teens.",South Atlantic,Urban,0,0,1
Book challenge was handled in house. I think the main publishing houses are too controlling of the content of the books we buy.,Mountain,Rural,0,1,1
Book challenged years ago on: High school-- Snow Falling on Cedars and Tree of Red Stars due to sexual content; the cover of a book with a gun on it. Elementary school--challenge on a poetry book that had a person throwing a boy out a high rise; Bone series because the character went into a bar and requested a beer; swear words in a book a 2nd grader checked out;,Pacific,Rural,1,0,1
"Both book challenges initiated by parents were dropped when I called the parent, listened to her complaints, clarified that she certainly had the right to keep her student from reading any book she thought was unsuitable, explained further that her challenge would mean the book would be removed from the shelf, making it unavailable for other students, talked further about reasons why I and other library media professionals thought the book appropriate for this collection. After our conversations, I sent out the required School District paperwork, which requires challenging parties to read the book. They chose not to pursue the challenge further.",South Atlantic,Urban,0,0,1
"Both of my experiences were actually requests for consideration that didn't up escalating to a formal challenge. One was The Queen of Cool by Cecil Castellucci, and the other was This One Summer by Mariko and Jillian Tamaki. Both requests were from 6th grade parents (youngest grade level on my campus), and both went to the principal 1st. I read both books, thought they were probably a little mature for 6th grade, but definitely saw the value in having them in the collection for older students. I explained to parents why they were important to have in the collection, but understood their concerns (language, drug/alcohol use, sexual situation). I put a YA sticker on them, and now if 6th grade students want to check out those books they have to have parent permission. Both were satisfied with that solution and did not wish to take the issue further.",South Central,Suburban,0,1,0
Cut - parent thought it was a manual for girls looking for a way to act out or get attention...,Midwest,Suburban,0,1,0
"Earlier in my career a parent challenged a paperback book that had a picture of a girl riding a horse on the cover. As the 3rd grade girl liked horses she borrowed the book. There was a scene in the book describing the girls breasts bouncing while she was riding the book. The parent was reading the book with the student and was distrubed by this passage. As I had not purchased the book for the library, and I believe it was a donation before I began my position, I decided to delete the book from the collection. It wasn't great literature anyway.",Northeast,Suburban,1,0,0
Grandparent challenged the book Little Rabbit Foo Foo stating main character was a bully. Book was reviewed by a panel of educators at the district level and was returned to the shelf.,Mountain,Urban,1,1,0
"Graphic novel...This One Summer...many students were returning it complaining of content. Attempted to discuss ...did they notice the difference in the way the character responded to the female and males in text etc...no go ...couldn't get past the strong language...mention of topics like blow jobs...etc Finally one student and her parent had brought the text in with sticky notes on all the pages with strong language, mention of porn, and the male sexual conversations. There were more than 25 sticky notes. She was offered the proper paperwork etc. During review I was able to convince them how this text really speaks to some students even though I myself was surprised by the highly controversial material for our ages. It is a book that begs analysis with peers but so many of our students found it offensive and I respect the desire to draw the line...The reviews DID NOT GO far enough in sharing about the controversial content for middle school students to inform my purchase. I bought 2 copies and am disappointed with the purchase. Sorry wrote this quickly",South Central,Small Town,0,1,0
"Having an administrator refuse to let me purchase several books because he didn't approve of their content is not an official challenge as defined by our selection policy. I tried as professionally as I could to change the administrator's mind, but the ""pre-censorship"" still occurred.",Midwest,Small Town,1,1,1
Help us out by giving more reliable information in book reviews. We would like to know if it contains questionable material. We are located in a conservative Christian community and know we are not alone in desiring higher standards in YA literature.,South Central,Small Town,0,0,1
"I address the issue of reading level vs. content with my students.......... both those who are restricted from our junior high section and those who are allowed to use it. We discuss 'bad language' in books (why does the character use it -- is this normal? -- why is it 'bad' and would you use it) ; 'mature' content in books ( why is it included -- how do you view it) ; historical fiction vs. historical fact vs. historical viewpoint; science books, etc = do you laugh because it is funny or uncomfortable ? do you only laugh in a group or actually sit by yourself and laugh at scientific info? Discussing this up front has greatly reduced the number of complaints I've received.",South Central,Suburban,1,1,0
I am in the midst of one. Waiting to see if the parent calls back or goes further with his concerns that we add warning labels to books.,Midwest,Suburban,0,1,0
"I am the coordinator of librarians in my county so I have info from other schools as well: 1. The book ""Flowers in the Attic"" (which was purchased by the previous librarian and in the collection for many years) was challenged when I worked at a middle school. It, however, was not an official challenge because our administration does not follow the School Board approved challenge policy and just pulls books off the shelves if a parent objects. :( It was removed and I sent it to the high school. 2. This year a parent complained about sexual content in a book called ""Mostly Good Girls"". The school serves grades 6-12. A middle school aged student had checked it out. The principal called me at home, since I am the ""head"" librarian, to fuss about the book (I do not work in that building); he took the book and it disappeared. That school has a policy that if a book is recommended as YA a spine label is attached so ""only"" high schoolers can check it out and it not allowed for middle school students. This book was YA in the reviews but the label was not affixed to it. Once again the challenge policy was not followed. 3. A parent at an elementary school complained that the giant in ""Jack and the Beanstalk"" gets drunk. All copies of the book were pulled from the library shelves in our entire county. SIGH Once again the challenge policy was not followed. 4. A student drew a gang symbol on his hand in middle school. He told the principal he saw it in a library book. The principal came to me and made me take every book off the shelves that related to gangs (even ones that tried to deter kids from joining). It turned out that the student actually saw it in a Guinness Book of World Records article related to the largest gangs or something like that. Once again the challenge policy was not followed. Can you tell we live in a small rural conservative area? I am often afraid I might lose my job because of books I purchase, especially, here at the high school where I now work. The content for this age level is much more mature than it was 2-3 decades ago when most of the administration and I were in school. So frustrating!",South Atlantic,Rural,0,0,1
"I am the Library Technology Teacher in an urban, alternative high school now. When I was the LTT in elementary school, a parent challenged The Slave Dancer by Fox that a teacher was using for whole class instruction. We asked the parent to fill out a created form. the parent eventually asked that her child didn't read the book, instead made another choice.",Mountain,Urban,1,1,1
"I am very careful with book selection, spending hours and hours reading both print and on line sources. I do buy urban fiction with somewhat explicit sexual content, but I had to draw the line at 50 SHADES as inappropriate for a public high school. I told students who asked that they could get it at their local public library. I have never had a book challenged, but I feel I could justify most, if not all my selections. I will occasionally choose not to purchase a book it I feel it is too YOUNG for my readers, although I do purchase Hi-LO books for struggling or relectant readers.",Northeast,Urban,0,0,1
I believe that there should be books for every child in every situation but I must be cognizant of parent's wishes at all times in my elementary school. For ex: GLB topics or extreme racial violence for elementary students should be introduced within the family unit.,Midwest,Suburban,1,0,0
"I buy picture books for my high-school to use for various subject areas. I decided not to purchase ""The Day the Crayons Quit"" because there was only one skin tone... we serve a diverse population of both native born, newcomers from over 30 countries, as well as our own Indigenous/First Nations students.",Canada,Suburban,0,0,1
I can't remember the exact title because I did take it off the shelf. The book was about two friends and one had two moms. It was for approximately grades 4-6. A parent was very upset and felt that it was most inappropriate for our small Catholic school.,South Central,Suburban,1,1,0
"I code any books that contain mature topics, strong language, violence, etc. in our catalog system. When a student checks out a book I can alert them of the content and help them with a different selection, if they choose. I find students really seem to gravitate to the books that they are ready for, maturity wise...such as my younger 7th graders really go for those appropriate for a middle school student. More mature students gravitate to the edgier titles.",Pacific,Rural,0,1,1
I do worry about where young adult books are headed. I don't mind gritty stories but I don't think even my high schoolers need to read graphic sex and I am seeing more and more graphic content.,South Central,Rural,0,0,1
"I don't worry about content (and typically not even reviews). I buy what I can afford based on my practically nonexistent budget from places such as bargain tables at book stores, yard sales and I accept donations! I actually look forward to having a parent challenge a book because it would mean they are actually monitoring what their teen is reading and taking an interest in the student's learning!",South Atlantic,Rural,0,0,1
"I experienced a book challenge with a comic book ( Dance class) about a school of young ballerinas. Parents were concerned with the images of thin ballerinas arguing that it was promoting an unhealthy lifestyle and nutrition. One school decided to eliminate from the collection the series Dance class. This was done after a written complaint and an evaluation with the school library committee. This library committee is composed of the school principal, two teachers, one library volunteer and the librarian consultant. One librarian consultant is responsible for 9 schools. This comic book series was a non-issue in all the other schools.",Canada,Suburban,1,1,0
"I had a parent challenge the Bone series. She said it had the main character watching a girl bathe and that they drank beer. It is a graphic novel but it didn't show anything and didn't even state right out that he saw anything. And only the adults drank beer and it wasn't a big part of the story. The town met in the pub for a town meeting as they used to do, and some partook of the drinks available. It went all the way up to the school board because she really wanted it gone. The book won and I didn't have to pull it.",Mountain,Suburban,1,0,0
"I had a parent complain about content in a fiction title that used the f word quite often. I was called in to the Principal's office and told that the title was being pulled. He said, basically, ""no f word."" I sent him the reviews and explained that I wouldn't necessarily know when the word is being used based on what information I am given. End of story. I try to avoid what I consider ""offensive"" words, but I do not consider them damaging to a 14 year old. Would I want my own 6th grader reading those words? No. It is a fine line. I suppose that I, personally, object to profanity over anything else I have encountered in young adult literature. Although, most recently, I purchased the award winning graphic novel This One Summer and pulled it off the shelf after reading it, as I felt it had no socially redeeming value. Self censorship? Maybe. I have to go with my education, experience, and my heart.",Midwest,Rural,0,1,0
"I had Darren Shan's, Demonata series challenged by a parent who believed that horror titles had no place in children's libraries. The family left our public school for private school. I had a parent challenge Unwind, by Neal Shusterman because it promoted abortion (?).",Pacific,Suburban,0,1,0
I have actually had a first grade student tell me that a particular book (The Odyssey: a graphic novel by Hinds) is inappropriate because there is a drawing of a woman who is naked (though she is sitting and her hair covers her up). I've never had a problem with the book though. I had to remind the student that he gets to choose his owns books and we celebrate our intellectual freedom in our library. Everybody makes their own choices as to what they read.,Pacific,Urban,1,1,0
"I have been a librarian for 5 years and have never pulled a book due to a challenge. I have had 2 challenges, but in both cases, I gave the parent our standard challenge form to fill out and the parent never brought it back. So, the case was never pursued.",South Central,Urban,0,1,0
"I have been an elementary school librarian for 10 years now and have only received one book challenge. A parent saw the book her child was reading and read it herself. The parent wrote me a letter that said the book was inappropriate for school because it was calling people fat and being disrespectful to parents and adults because the children in the story were making fun of the adults. The parent told me that she does not teach her child these things and that the book should be taken off the shelf. I read the book myself and personally did not like the content myself either. However, I realized that the book was written, not to be disrespectful, but to be fun and entertaining for children. I did not see this as a reason to remove the book from the shelf and told the principal so. The principal allowed the book to remain on the shelf and we let the parent know the reasons why it was still there.",Midwest,Urban,1,0,0
I have contemplated putting an '8th grade only' shelf together but have been hesitant to do anything that might be considered offensive by administration. Middle school is a difficult group to purchase for because students run the gamut from very young and naive to mature and sophisticated.,Northeast,Suburban,0,1,0
"I have experienced a school administrator placing a book in his desk drawer after the parent brought it to his attention. (6th grade mother - book:What's Happening to My Body? Book for Girls. reviewed booklist, SLJ, VOYA, selected as a best book for young adults by ALA) She objected to one part about masturbation. I was not told about it until I asked the child about her overdue book and she told me that her mom had talked to the Principal about it! He gave me the book from his drawer and I put it back on the shelf. We had a challenge policy in place - I assume he did not inform her. A local elementary school had experienced a FORMAL challenge a couple of years prior that had gone all the way to the school board. The book remained in the collection.",Northeast,Suburban,0,1,0
"I have experienced many books challenges in my career (past 35 years), in IA, SD & CT in 4 different school districts. First in Iowa, in 1982, in small school district, with Headman by Kin Platt for the language in M.S. and moved it up to H.S. Library. Second and Third and Fourth in South Dakota, in 1982-84 for ""Trying Hard to Hear You"" for same sex kiss, then for Books on a Senior Independent Reading list where a Principal wanted any title that had ever been questioned removed (retained all books after lengthy explanation of Senior Students having right to choose). Then in 1984, with the MARSHALL CAVENDISH DOCTOR'S ANSWERS MEDICAL HEALTH ENCYCLOPEDIA, which had questionable pictures in the ""S"" Volume, administrator tried to pull/censor entire encyclopedia, retained the encyclopedia with restriction to ""Cover"" the pictures in that volume that adminstration ordered. Then, in 1986, in a rural town, in CT, with a joint Public and School Library, where parent kept 'checking out' then 'losing"" the VC Andrews Book ""Flowers in the Attic"" to try to censor the Library. Then in 1994, when an elementary school in our suburban school district tried to censor Goosebumps, at that time our Selection Policy and Adminstration responsible for the committee to review books in question, operated well. Goosebumps challenge resulted in the books staying on the shelves and the parent being told they may limit what their own child reads but the school would not be removing these books that were age appropriate from the library. Then in 2003, we had an Elementary School Principal pull ""Heart of a Chief"" from the Library due to a confused discussion from a parent claiming they discussed ""abortion"" in class... which was a misunderstanding... but the Selection Policy Reconsideration Policy was not followed and it took a year to get it back in the Library. Then in 2007, we had a H.S. Principal ask about E.Lockhart's ""Boy Book"" as a parent phoned about it, not wanting his daughter (15 yr old) to be allowed to check it out... and then a second book ""The boyfriend list""... as the Principal partially tried to censor by checking the two books out and sitting on them for 8 months and claimed we didn't want our girls reading a book that had a chapter on ""Boobs"" ... (a chapter was titles ""boobs"" but was just teen angst writings in a diary of sorts shared by young teen girls. Books were retained in the end, Principal never followed through with proper procedure. I sent the parent the Request for Reconsideration form, but he failed to fill it out and submit anything. You may contact me if you have any questions: Joy Parker Fitzgerald, Librarian Media Specialist, currently at a H.S. with email: librarymed@aol.com",Northeast,Suburban,0,0,1
I have found that you cannot predict challenges. The books that have been challenged during the 18 years I've worked in our school district came out of left field.,Midwest,Suburban,1,1,0
"I have had my current principal pull two books - one, a non-fiction that referenced religion and one that was a Caldecott winner. Both were brought to his attention due to a parent or teacher complaint. Neither went through the formal challenge process.",Northeast,Rural,1,1,0
"I have had only one challenge in the eight years I've worked at my school. A staff member saw a book on a cart, but she did not realize cart held weeded books so the challenge was moot. The book itself wasn't bad, but it was a) a book about a movie that was adapted from a book and b) geared toward middle grades and I work at a high school. All in all, I'm pretty happy with my challenge record because I try to make decisions that meet the needs of the entire school community and do not buy books just because they are popular, have won awards, or satisfy a single agenda.",Northeast,Suburban,0,0,1
I have had several challenges that have not passed the preliminary stages. The parents objections were met when they learned that the particular title was only one in a collection that spanned the depth of the issue involved.,Northeast,Suburban,0,0,1
"I have had several verbal challenges, but after we discuss board policy, purpose of the school library, and needs of the students, plus discussing the formal challenge procedures, the student, staff of parent has chosen not to move forward. The only guardian who chose to more forward to a formal challenge did NOT challenge having the book, Suckerpunch by David Hernandez in the library. She challenged having it as a choice for a literature circle read. We followed board policy, convened a reading committee and said it should only be a literature circle choice for 11th and 12th graders. It took a couple of months for the process and to reach a conclusion. The principal agreed with our conclusion and presented it in to the guardian and the guardian was satisfied. The board policy has changed to where the superintendent will handle book challenges. I am not sure it would play out the same way.",Mountain,Small Town,0,0,1
"I have had two books informally questions. The first book was The Boy Who Lost is Face by Sachar. Parent was concerned about language and the boy not respecting his mom. The second book was a book about the history of weapons in war. This book was first put on the shelves twelve years before I became the librarian. It remains on the shelves. The teacher (3rd grade) did not want her students bringing any books to her room that had guns. This became a non-issue in my school library when the teacher transferred to a different school. In both cases, the parties involved wanted to express their opinion, but did not want to go public with a complaint.",Mountain,Suburban,1,0,0
"I have never experienced a book challenge, but the last district I was in would not allow Ellen Hopkins to speak at one of the teen lit days. The challenge came from a parent who took it straight to the superintendent who denied the request.",South Central,Small Town,0,0,1
"I have not experienced a book challenge (but before I arrived, one student requested that a dated book on Native Americans be removed because it was not accurate). I have had one parent ask specifically that a book be restricted from the younger grades. At that time I began using an age limit sticker on books families reported were disturbing to their children. I have 4 books with such stickers. One is a book on pirates that shows them being punished by hanging. 3 are books on ghosts and hauntings. Young students may check them out if their parents give the ok. I've had 3 students get their parents' ok. I've been at my school for 20 years.",Pacific,Urban,1,1,0
I have not experienced any serious challenges. I have had specific parents speak with me about books (<5) about books they did not want their child to take out which I will honor.,Northeast,Suburban,1,0,0
"I have not had a specific book challenge here at the elementary school, but I have been involved in several book challenges at the HS level. In all cases, the book challenge procedure was followed. The book was read and reviewed by a committee of teachers, librarians, administrators, and parents. The librarians emphasized and deferred to the experienced reviewers and/or ALA recommendations to explain the purchase of the material, and in all cases, the committee recommended that the book remain in the library and available, asking that the concerned parent advise the librarian regarding reading preferences for their child only.",Northeast,Rural,1,1,0
"I have not yet been challenged on any of my books in my school library. This is our policy on controversial material: D. Controversial Material 1) Any person desiring to challenge an item must present the challenge in writing and it must be signed. 2) A committee consisting of the librarian, the principal, and one parent will be assigned to consider the criticism and make a decision about the material. 3) Item in question will remain on the shelf until a final decision has been made. Intellectual Freedom Statement: Education is best served by encouraging all learners to read broadly and well.",Mountain,Urban,0,1,1
"I have occasionally had a parent or student object to language in a book, but its very rare.",Mountain,Urban,1,0,0
"I have older administrators who take the position that sharing books where characters engage in inappropriate or risky behaviors will motivate students to emulate that behavior. That flies entirely against the pedagogy of the library but as these people determine my job stability (as year-to-year contracts are the norm here), I have to toe the line. As a result, I still buy what I am sure they consider ""controversial"" materials, I am far more careful about book-talking them and I never put them on display. This behavior goes against my professional integrity but since my school will not approve a formal book complaint process (as a means to protect both the books and my job), I am left with little choice.",Northeast,Urban,1,1,0
"I have personally experienced challenges to The Bronze Bow (parent objecting to the portrayal of Jews) and Chato's Kitchen (parent objecting to red bandana worn by Novio Boy). The Bronze Bow went through a step by step district policy and was removed from the course it was being used in due to a mismatch of curriculum, but remained in the district libraries. The district policy was initially ignored with the challenge to Chato's Kitchen, but was re-evaluated and followed policy and was reinstated to the district libraries.",Pacific,Suburban,1,1,0
"I have received two formal book challenges: one for language (swearing) and one because the book referred to a past crime involving a mass shooting in a mall (but no violent details were given). Neither challenge went far. This is my seventeenth year as a K-5 librarian and it has become increasingly difficult to avoid swearing, violence and sexual references in children's literature. I have become somewhat more lenient in what I purchase. My biggest frustration is when a terrific book for kids is very age-appropriate in every way EXCEPT for one sentence or paragraph that seems to be stuck in there for NO good reason! I see no reason for that, and it honestly makes my job much more difficult. I have had to pass up purchasing some wonderful books because of very unnecessary content that seems to be thrown in simply for shock value. Frustrating and I'd honestly like to know WHY authors do that!!",Midwest,Suburban,1,0,0
"I haven't dealt with a book challenge directly, but then I made sure that I had a sound collection development policy in place, and approved by the school administration. I have had a couple of parents object to books for their child, I emphasized to them and our students that if they have checked out a book that is not for them, return it and get another. I have a large collection, and it is possible to find something for everyone in our library.",South Central,Suburban,1,1,0
"I keep typing these answers in the wrong place. A parent challenged a non-fiction book because it was about gangs. I told him that the book was looking at the gang situation, not encouraging students to join gangs. I told him he would have to read the book if he was going to challenge it. He was mainly a Spanish speaker, so he was intimidated by that suggestion and withdrew the challenge. However, when Library Services found out about the challenge they came to my school to look at the book and had me take it off the shelf because it was an older book that they felt no longer had relevance.",Pacific,Urban,0,0,1
"I mentioned a couple of challenges on Drama, but they did not reach the formal stage. One mom (grandma) shared that she was thankful that I just listened to her and didn't make her feel stupid.",Midwest,Suburban,1,1,0
I personally have opted to not put a book on the shelf because of the graphic sexual content. It was an LGBT purchase that went into great detail about a rape and other experiences. Even for mature high school students it was a bit much. I also refused to purchase Fifty Shades of Grey novels because they are not literature and the sexual content is not appropriate for middle or high school. I had Shel Silverstein challenged as an elementary librarian but I did not remove it from the shelf.,Pacific,Urban,0,0,1
"I purchased the book This One Summer, a Caldecott honor book, because it was an award winner for children 14 and under. I was so disappointed when I received the book because the content certainly did not fall into the category of ""Children Book."" It certainly was not something that I would want any of my students to think is life today. I feel that the Caldecott committee manipulated the description for the award. It is an embarrassment to all the other Caldecott winners.",Pacific,Suburban,1,0,0
"I served on my district's review committee for challenges. As such, I voted with colleagues on whether to retain, move to another level or remove books from media collections at all levels.",South Atlantic,Suburban,1,0,0
I simply don't purchase controversial books at all. It is our philosophy that books of this nature should be purchased by the parents and discussed at home if this is the parents' wishes. It would be really refreshing if the children's book industry spent more time publishing wholesome literature for children.,Midwest,Suburban,1,0,0
I tell students they know their family. They should discuss with their family what is appropriate for them.,Northeast,Suburban,1,1,0
"I thought it was interesting on Facebook, one of my ""friends"" said that he saw that the Lorax had been considered a banned book. He was outraged that it could no longer be in school libraries. I tried to explain as best I could that just because it is considered banned, doesn't mean we have to remove it. At least I hope it doesn't, because I haven't removed any that I saw on a banned list! Those books tell me I should take a second look at the content of the book, but usually I find that it is not a relevant concern in our area or for our readers.",South Central,Small Town,1,0,0
